Car Model,Acceleration,Number of Cylinders,Origin,Curb Weight,Horsepower_bin,MPG_bin,Engine_Displacement_bin,Weight_bin
Nissan,6.585868406,8,Germany,3357.18742,200-250,35-40,4-5,3000-3500
Toyota,14.97211638,8,USA,3299.740375,>350,15-20,2-3,3000-3500
Nissan,9.292713062,4,Japan,3671.171213,100-150,<15,5-6,2000-2500
BMW,7.983752206,4,Japan,3892.030283,>350,35-40,2-3,>5000
Audi,19.04528837,6,Germany,2993.405952,100-150,<15,2-3,2000-2500
Toyota,5.277868651,6,USA,2809.445666,200-250,30-35,<2,4500-5000
Chevrolet,11.56665908,4,Japan,3104.199424,>350,40-50,<2,3500-4000
Audi,5.324404887,4,USA,3156.311954,300-350,30-35,3-4,>5000
Toyota,12.25389572,6,Japan,2559.805434,250-300,25-30,2-3,2500-3000
Ford,12.51571067,4,Germany,3792.544798,250-300,35-40,4-5,4000-4500
Mercedes,9.824937071,6,USA,3993.388508,>350,25-30,<2,3500-4000
BMW,6.982426663,8,USA,3884.813039,200-250,30-35,3-4,4500-5000
Nissan,10.64581307,8,Germany,3790.997469,>350,40-50,2-3,2000-2500
Mercedes,15.0839441,4,Japan,3988.900455,100-150,25-30,<2,2500-3000
Nissan,16.73593713,8,Japan,3861.712648,>350,40-50,<2,2500-3000
Nissan,12.96125904,8,USA,3532.551431,>350,40-50,3-4,4500-5000
Honda,13.84751592,8,Germany,2750.134973,150-200,15-20,3-4,2500-3000
Honda,8.009245567,8,USA,2734.525185,250-300,<15,3-4,4000-4500
Ford,9.309954998,6,USA,2573.16962,150-200,<15,3-4,2500-3000
Chevrolet,7.428434151,6,Japan,3117.746301,>350,<15,3-4,>5000
Mercedes,8.73943025,4,Japan,3713.236116,300-350,<15,<2,>5000
Honda,8.373301703,8,Japan,3235.443917,>350,35-40,3-4,4000-4500
Toyota,12.7917318,8,Japan,3049.482559,150-200,<15,5-6,3000-3500
Audi,13.44033134,8,Japan,2663.853796,150-200,20-25,3-4,2500-3000
BMW,19.17421131,4,Germany,2577.629964,100-150,40-50,4-5,2000-2500
Ford,7.933559707,6,USA,3098.768715,200-250,<15,2-3,3000-3500
Audi,14.62513565,8,Germany,2649.88807,300-350,40-50,4-5,4500-5000
Chevrolet,17.25888903,6,USA,2655.322259,>350,20-25,4-5,4000-4500
Audi,13.40362196,4,Japan,3093.022637,>350,<15,3-4,>5000
Mercedes,8.825054788,6,Germany,3254.265185,250-300,35-40,5-6,3500-4000
Toyota,8.93825345,8,USA,2780.02433,>350,35-40,2-3,4500-5000
Nissan,5.588795796,6,Japan,3526.953529,>350,40-50,<2,3500-4000
Honda,9.581663398,6,Japan,3128.038001,>350,35-40,4-5,4000-4500
Toyota,16.16905519,4,Germany,2637.883807,300-350,40-50,4-5,3000-3500
Chevrolet,5.712766358,4,Germany,3455.551187,200-250,20-25,<2,3500-4000
Ford,8.289429238,4,Germany,3035.417228,100-150,15-20,2-3,3500-4000
Audi,15.59348748,4,Japan,2578.482216,>350,40-50,<2,4500-5000
Toyota,16.73977344,6,USA,3921.97237,100-150,40-50,2-3,>5000
Mercedes,11.82977615,6,USA,3356.795436,200-250,40-50,4-5,3000-3500
Ford,15.47111508,4,Germany,3216.580554,300-350,25-30,3-4,2000-2500
Nissan,10.81928253,4,USA,3788.706092,300-350,20-25,2-3,3500-4000
Chevrolet,7.398698675,8,Japan,3905.110644,300-350,40-50,2-3,4000-4500
Chevrolet,10.9722424,8,USA,2830.482802,150-200,20-25,<2,2500-3000
Audi,13.6995173,4,Japan,3715.216753,250-300,40-50,2-3,>5000
Honda,19.22079923,6,Germany,3746.61989,300-350,40-50,4-5,>5000
BMW,6.031264281,4,USA,2581.604192,>350,25-30,5-6,>5000
Chevrolet,12.61091141,6,Japan,3567.916173,>350,40-50,4-5,2500-3000
Mercedes,9.933796673,6,Germany,2594.451823,>350,40-50,<2,>5000
Toyota,12.62467541,8,Germany,3392.00987,>350,<15,5-6,4500-5000
Mercedes,5.359631711,4,Germany,3503.855166,300-350,40-50,4-5,3500-4000
Toyota,9.695380321,4,Germany,3050.588033,150-200,30-35,4-5,4000-4500
Toyota,17.29802221,6,USA,3821.181245,>350,40-50,3-4,>5000
Nissan,13.30912601,4,Japan,3700.76756,300-350,20-25,3-4,3500-4000
Chevrolet,11.75873739,8,USA,3888.93957,300-350,40-50,2-3,3000-3500
Chevrolet,9.282876076,8,Japan,2972.33429,250-300,25-30,<2,3500-4000
Toyota,9.470637842,4,Germany,2532.2917,300-350,<15,2-3,4000-4500
Audi,10.7465215,4,USA,3717.1919,200-250,40-50,2-3,2500-3000
Mercedes,17.53356065,8,Germany,2834.466034,300-350,<15,3-4,>5000
Honda,19.5081981,4,Japan,3200.734061,150-200,20-25,4-5,4500-5000
Audi,11.57983072,6,Germany,3725.981758,>350,40-50,3-4,4500-5000
Honda,10.90029258,4,USA,2824.202768,150-200,40-50,<2,2000-2500
Chevrolet,17.69826164,6,USA,2967.863144,100-150,30-35,5-6,4000-4500
Audi,11.40357981,4,Japan,3158.61998,250-300,35-40,5-6,2000-2500
Mercedes,13.28027258,4,Japan,2907.737275,>350,25-30,4-5,2000-2500
Chevrolet,8.464124969,8,USA,3191.982135,250-300,20-25,5-6,4000-4500
Ford,16.15253804,6,USA,2514.394967,200-250,20-25,3-4,3500-4000
Chevrolet,12.97982477,8,USA,2818.281959,300-350,35-40,5-6,4000-4500
Audi,17.13551825,4,USA,3748.830039,200-250,40-50,<2,2000-2500
Mercedes,16.71099095,8,Japan,3120.222938,>350,40-50,2-3,3500-4000
Toyota,8.225071524,4,USA,3454.608652,>350,40-50,2-3,2500-3000
BMW,15.73453326,4,Japan,2848.431891,300-350,<15,2-3,>5000
Nissan,17.00081612,4,USA,3474.817997,200-250,25-30,2-3,4000-4500
Mercedes,10.19160861,6,USA,3999.960801,>350,<15,3-4,4500-5000
Chevrolet,7.589136694,6,Germany,3392.931459,100-150,30-35,4-5,3000-3500
Chevrolet,5.039482334,6,Germany,3442.537844,250-300,25-30,3-4,2000-2500
Toyota,11.7635548,8,USA,2667.279737,200-250,40-50,2-3,>5000
Mercedes,10.28649097,4,Japan,3105.072207,>350,20-25,4-5,3000-3500
Ford,13.32364751,8,USA,3791.087348,100-150,<15,4-5,3500-4000
BMW,7.820616389,8,Germany,3751.40796,300-350,15-20,3-4,4500-5000
Mercedes,17.89498321,4,USA,3283.598666,>350,40-50,4-5,2000-2500
Chevrolet,8.866328234,8,Germany,3855.181225,250-300,30-35,2-3,>5000
Honda,8.396444076,4,USA,2714.405527,100-150,<15,2-3,4000-4500
Honda,12.21071085,4,USA,3487.284107,>350,<15,5-6,3000-3500
Honda,12.48276536,4,Japan,2873.325365,300-350,35-40,2-3,2000-2500
Nissan,8.226278432,4,Germany,3468.342108,300-350,<15,3-4,2500-3000
Nissan,9.077910901,8,Germany,2631.099534,150-200,40-50,5-6,>5000
Mercedes,7.545578587,8,Germany,3915.413643,250-300,35-40,4-5,4500-5000
BMW,15.77690267,8,Japan,3679.498059,250-300,<15,<2,2500-3000
Chevrolet,16.55133547,6,USA,2801.442347,100-150,<15,2-3,2000-2500
Chevrolet,11.93492746,8,Japan,3455.914853,100-150,40-50,<2,4500-5000
Chevrolet,15.71130534,8,USA,3638.718461,>350,20-25,4-5,4000-4500
Nissan,16.03903088,6,Japan,2814.168733,150-200,20-25,3-4,3500-4000
BMW,7.074132915,4,Japan,2639.995462,150-200,40-50,2-3,3000-3500
Chevrolet,19.49267037,4,Germany,3027.669649,300-350,40-50,5-6,2500-3000
Toyota,17.31547921,4,Japan,2703.631512,>350,40-50,3-4,4500-5000
Ford,8.067251918,6,USA,3348.567558,100-150,40-50,2-3,>5000
Audi,7.792475536,8,Japan,3136.172364,300-350,25-30,3-4,2500-3000
Mercedes,6.884917184,8,Japan,3193.636507,100-150,<15,4-5,4000-4500
Mercedes,7.075678438,8,USA,3314.295216,100-150,40-50,<2,3500-4000
Honda,16.22242699,8,Germany,3973.078219,100-150,30-35,2-3,3500-4000
Honda,12.04481385,6,USA,3688.9535,>350,25-30,4-5,3000-3500
Mercedes,16.74401259,8,USA,3444.207242,100-150,40-50,3-4,>5000
Toyota,16.19382342,4,USA,3045.558422,100-150,<15,3-4,3500-4000
Chevrolet,14.0691907,6,Japan,2540.60403,250-300,25-30,3-4,4000-4500
BMW,15.2954991,6,Japan,2674.791416,>350,<15,<2,3000-3500
BMW,5.275335866,4,USA,3596.300876,200-250,25-30,2-3,2500-3000
Nissan,9.676664702,4,USA,3053.805892,250-300,<15,3-4,2000-2500
Chevrolet,14.56733269,8,Germany,3001.656154,100-150,<15,2-3,4500-5000
BMW,5.140174302,4,Japan,3833.467538,250-300,<15,<2,2500-3000
Chevrolet,5.494654155,6,Japan,3226.763336,300-350,35-40,4-5,4500-5000
Honda,17.77831974,6,Japan,3849.365586,300-350,35-40,5-6,3500-4000
Audi,15.26037293,6,Japan,3829.957766,200-250,30-35,4-5,3500-4000
Audi,8.980545997,8,USA,2620.271938,200-250,40-50,4-5,3500-4000
Audi,15.3194426,8,USA,3918.044468,100-150,20-25,2-3,3000-3500
Honda,16.88685004,4,Germany,2615.432325,200-250,20-25,5-6,2000-2500
Nissan,9.601914247,8,Japan,3945.259173,100-150,40-50,2-3,3000-3500
Audi,5.540560662,8,Japan,3178.922376,>350,15-20,5-6,4500-5000
Honda,18.99168687,6,USA,3641.291014,>350,40-50,5-6,4500-5000
Chevrolet,10.17769757,6,Germany,3559.216551,>350,<15,4-5,3000-3500
Audi,6.597226449,4,USA,3277.742461,>350,40-50,5-6,3500-4000
Toyota,12.37785307,6,Japan,3429.182228,300-350,<15,3-4,2500-3000
Nissan,16.52701693,8,Japan,3924.877272,>350,40-50,2-3,2500-3000
Toyota,8.324709719,4,Germany,3891.027236,200-250,30-35,3-4,2000-2500
Mercedes,9.042350752,4,USA,3481.489075,>350,40-50,3-4,>5000
Chevrolet,8.640724802,6,Japan,3486.578018,250-300,<15,<2,2500-3000
Nissan,19.87509579,6,Japan,2870.40804,250-300,30-35,3-4,2500-3000
Toyota,7.961056006,6,Germany,3742.935242,>350,40-50,5-6,3000-3500
Nissan,13.63280325,4,Japan,3448.905,200-250,30-35,2-3,2500-3000
Chevrolet,18.87896962,6,Japan,3739.373188,200-250,35-40,4-5,4500-5000
Mercedes,7.203448533,8,USA,3486.778615,>350,35-40,5-6,2000-2500
BMW,19.56281297,4,Germany,2948.980039,100-150,25-30,5-6,2500-3000
Audi,19.21215852,6,Germany,2784.222104,250-300,35-40,5-6,4500-5000
Mercedes,18.26857981,8,Germany,2615.448766,>350,30-35,3-4,3000-3500
Nissan,8.21834782,8,USA,3378.992398,300-350,40-50,5-6,4500-5000
Audi,14.51082584,6,Germany,2926.077036,300-350,<15,4-5,4000-4500
Mercedes,16.41337209,8,Japan,3445.764272,150-200,20-25,2-3,3000-3500
Audi,19.79041892,4,Germany,2587.984667,200-250,40-50,3-4,4500-5000
BMW,7.706357331,4,Japan,3063.494598,>350,40-50,4-5,2000-2500
Chevrolet,16.49038849,8,Germany,2890.829823,300-350,25-30,2-3,4000-4500
Nissan,10.08201755,4,Germany,3055.501117,300-350,30-35,4-5,3500-4000
Nissan,7.634396984,6,USA,2581.425145,100-150,20-25,4-5,3000-3500
BMW,11.32065412,8,Germany,3586.272128,100-150,15-20,2-3,4000-4500
Honda,16.90753868,4,Germany,2675.046,>350,25-30,3-4,>5000
BMW,11.97274706,6,USA,2521.60394,250-300,20-25,4-5,>5000
BMW,13.0628465,6,Japan,3919.433652,300-350,30-35,3-4,4000-4500
BMW,19.92739115,4,Germany,2789.314574,100-150,<15,<2,3500-4000
Chevrolet,10.98663949,8,Germany,3742.091948,>350,40-50,<2,2500-3000
Mercedes,14.23101132,6,Japan,3946.7059,>350,40-50,2-3,3000-3500
Ford,10.47866302,6,USA,3301.181799,300-350,35-40,5-6,3500-4000
BMW,10.89178469,6,Germany,3289.17724,150-200,30-35,2-3,3000-3500
Nissan,15.4346113,6,USA,3051.125867,300-350,20-25,4-5,>5000
Toyota,19.06830464,8,Japan,3138.392297,>350,40-50,2-3,3000-3500
Honda,13.13538426,4,Japan,3223.113095,250-300,35-40,2-3,3000-3500
BMW,16.52599893,4,USA,2728.141606,>350,15-20,4-5,3500-4000
BMW,6.338098382,4,Japan,3047.105086,>350,40-50,4-5,>5000
Honda,8.167370561,6,Japan,3724.162664,>350,40-50,<2,4500-5000
BMW,12.53197461,8,Germany,2773.597179,300-350,40-50,3-4,4000-4500
Nissan,5.300175854,4,USA,3594.77987,150-200,35-40,<2,3000-3500
Ford,8.792824681,8,Germany,3477.3799,200-250,30-35,3-4,>5000
BMW,12.76101935,4,USA,2585.946663,150-200,25-30,4-5,2000-2500
Honda,5.224417974,6,Germany,2533.643303,>350,40-50,<2,>5000
BMW,8.968194293,4,Japan,3028.792694,>350,40-50,2-3,4000-4500
Chevrolet,12.71046229,6,USA,3538.255416,>350,<15,3-4,3500-4000
Nissan,13.59723872,6,USA,2995.626891,200-250,<15,5-6,3500-4000
Nissan,18.8862754,4,USA,3501.599951,150-200,25-30,5-6,4500-5000
Ford,14.68018435,8,USA,3498.187215,>350,40-50,<2,2000-2500
Mercedes,11.22103704,6,Japan,3709.831934,250-300,40-50,4-5,>5000
Chevrolet,18.95526766,8,Japan,2649.228422,150-200,15-20,2-3,3500-4000
Chevrolet,16.77324475,4,Japan,3365.693337,300-350,30-35,3-4,3000-3500
Ford,8.000133817,6,Germany,2593.745679,100-150,25-30,4-5,2500-3000
Audi,6.96263542,8,Japan,2763.92071,200-250,40-50,5-6,3500-4000
Audi,15.13717454,6,Germany,2988.251354,250-300,40-50,5-6,3500-4000
Mercedes,13.39824748,4,Germany,3561.083861,150-200,40-50,3-4,3500-4000
Toyota,16.84510421,6,Japan,3960.816963,>350,25-30,2-3,4500-5000
Mercedes,16.08207575,4,Japan,3013.781222,150-200,25-30,4-5,3500-4000
Audi,14.37817301,8,Japan,3281.716728,150-200,20-25,2-3,>5000
Mercedes,19.79573257,6,Germany,2888.583393,150-200,<15,3-4,4000-4500
BMW,13.00384595,8,USA,3513.234431,>350,40-50,2-3,>5000
Chevrolet,6.696586348,4,Japan,3049.878802,250-300,40-50,4-5,2000-2500
Mercedes,17.42410347,4,Germany,3222.39426,300-350,40-50,2-3,3500-4000
Toyota,8.777800435,8,Germany,3351.719314,100-150,40-50,2-3,3000-3500
Toyota,16.65953222,8,Japan,3529.363495,100-150,30-35,5-6,4000-4500
Nissan,19.35660644,4,Germany,2590.077492,250-300,40-50,<2,>5000
BMW,15.45193271,8,Japan,3332.351641,>350,40-50,3-4,2000-2500
Nissan,13.94045241,4,Germany,3146.746147,>350,40-50,2-3,2000-2500
Honda,11.90579264,8,USA,2700.64763,100-150,15-20,<2,>5000
Audi,10.46614799,4,Germany,2812.055002,300-350,25-30,<2,2500-3000
Nissan,10.29507126,4,Japan,3825.835137,>350,15-20,2-3,4500-5000
Chevrolet,14.54559059,6,USA,3807.664014,250-300,40-50,4-5,4000-4500
Chevrolet,16.26909675,4,Japan,2549.995382,>350,30-35,2-3,>5000
BMW,15.17775604,4,Germany,3534.102237,150-200,15-20,5-6,2500-3000
Toyota,7.976151518,6,USA,3331.28097,>350,35-40,3-4,2500-3000
Chevrolet,12.4098077,6,USA,3909.723765,>350,30-35,3-4,4000-4500
Audi,16.87460108,8,Germany,3862.008567,>350,20-25,3-4,>5000
Nissan,12.13556117,8,USA,3369.342869,>350,<15,3-4,3500-4000
Audi,13.0493492,4,USA,2708.432382,200-250,35-40,4-5,3000-3500
Mercedes,16.56704072,8,USA,3189.722536,>350,30-35,2-3,4000-4500
Nissan,14.91897959,8,Japan,3587.74655,200-250,40-50,2-3,>5000
BMW,11.14017381,4,Japan,3927.604953,200-250,30-35,5-6,>5000
Mercedes,18.43119067,6,USA,3045.744109,>350,40-50,5-6,>5000
Audi,7.43850603,6,Germany,3677.007214,>350,30-35,5-6,2000-2500
Nissan,19.93274673,4,Germany,3525.01113,>350,30-35,3-4,2000-2500
Audi,6.782788677,4,Japan,2617.439166,150-200,40-50,4-5,4000-4500
Ford,5.224249567,4,Germany,3336.965275,>350,25-30,3-4,>5000
BMW,18.35028352,4,USA,2775.26325,>350,15-20,3-4,3000-3500
BMW,8.674302625,4,Germany,3525.323938,100-150,<15,2-3,2500-3000
Chevrolet,15.94549441,4,Japan,3415.12727,250-300,40-50,3-4,>5000
BMW,17.16523062,8,Japan,3959.572137,200-250,30-35,2-3,2000-2500
Honda,17.88479587,8,USA,3903.073998,200-250,35-40,2-3,3000-3500
Chevrolet,19.87391353,8,Japan,2514.05925,>350,15-20,4-5,4000-4500
Chevrolet,9.410595651,6,Japan,2620.044145,>350,15-20,2-3,4000-4500
Mercedes,15.65365013,4,Japan,3653.701467,>350,<15,<2,4500-5000
Mercedes,6.730997874,4,Germany,3528.464609,>350,20-25,<2,3000-3500
Audi,11.10213937,8,Japan,3701.418398,250-300,30-35,5-6,4000-4500
Ford,17.7195754,6,Germany,2900.222384,>350,25-30,3-4,4000-4500
Chevrolet,10.51487069,8,Japan,3773.984153,250-300,25-30,3-4,4000-4500
Mercedes,13.86643071,4,Japan,3163.629208,>350,40-50,4-5,4500-5000
Toyota,12.55660166,4,Germany,2892.862727,150-200,20-25,4-5,3000-3500
Nissan,14.68927297,8,Germany,2515.911621,>350,30-35,2-3,2000-2500
Nissan,19.59341584,8,USA,3807.046052,150-200,40-50,4-5,2000-2500
BMW,5.836032898,4,USA,3303.015774,200-250,25-30,4-5,2500-3000
Audi,13.60942276,8,Germany,3963.073126,>350,30-35,4-5,4000-4500
Ford,17.94543169,4,Japan,3572.022084,250-300,40-50,2-3,>5000
Nissan,12.22074068,8,USA,2620.625715,300-350,40-50,5-6,4500-5000
Toyota,6.177907789,6,Germany,3382.28678,250-300,15-20,3-4,>5000
Ford,13.40809029,4,Germany,2525.68681,>350,40-50,2-3,3000-3500
Honda,9.981108362,6,Japan,3336.672781,150-200,25-30,3-4,3500-4000
Nissan,7.32412678,8,Germany,3025.302495,100-150,20-25,<2,3500-4000
Chevrolet,17.7355177,6,USA,3464.943752,200-250,25-30,2-3,2500-3000
Toyota,12.82399269,8,Japan,3312.361309,250-300,40-50,4-5,2000-2500
Audi,18.99914619,6,Germany,2892.025485,150-200,25-30,<2,4000-4500
Audi,17.09024757,6,Germany,2743.525914,200-250,20-25,3-4,>5000
Toyota,15.39457691,6,Japan,3107.06723,250-300,35-40,3-4,2500-3000
Nissan,5.07538255,4,Japan,3980.254472,100-150,15-20,<2,2000-2500
Mercedes,11.41735185,6,Japan,3153.547961,300-350,<15,5-6,>5000
Mercedes,7.962294225,8,USA,3623.180707,>350,15-20,2-3,3000-3500
BMW,18.66196867,8,USA,2585.460288,150-200,15-20,2-3,>5000
Honda,7.61875977,4,Germany,3068.298647,300-350,15-20,2-3,4500-5000
Chevrolet,9.290900775,4,Germany,3370.484556,>350,15-20,2-3,>5000
Honda,12.75255152,8,Japan,3626.79477,250-300,35-40,<2,3500-4000
Honda,8.950454285,6,Germany,3292.575486,>350,15-20,4-5,4500-5000
Nissan,8.147970159,8,Germany,3272.943319,250-300,20-25,5-6,3500-4000
Chevrolet,13.98648988,4,Japan,3645.860369,300-350,40-50,2-3,4500-5000
Nissan,6.333942841,4,USA,2969.931576,100-150,25-30,4-5,3500-4000
Nissan,5.872516381,8,USA,2635.915781,>350,35-40,4-5,2500-3000
BMW,10.58367943,6,USA,3020.725707,>350,15-20,4-5,4000-4500
Toyota,15.80996682,6,Germany,2738.494353,100-150,15-20,3-4,4000-4500
Audi,13.32210137,4,Japan,3948.916306,200-250,<15,2-3,>5000
BMW,11.34314703,8,USA,3366.267321,>350,15-20,2-3,4500-5000
Audi,13.48627346,8,Germany,3169.900647,250-300,20-25,4-5,4500-5000
BMW,10.48177227,4,Japan,3868.077817,300-350,15-20,4-5,2000-2500
Nissan,19.04219503,8,USA,3850.542081,>350,<15,2-3,4500-5000
BMW,5.823573364,4,USA,3123.545919,>350,<15,2-3,4000-4500
Audi,15.10087219,6,Japan,3812.091043,300-350,25-30,5-6,>5000
BMW,18.36923997,6,Germany,2596.0389,>350,15-20,4-5,>5000
Ford,17.05827063,8,Germany,3828.578718,>350,20-25,5-6,2000-2500
Chevrolet,7.760615522,6,USA,2965.875293,250-300,30-35,4-5,>5000
Toyota,9.438895235,6,Japan,3347.683427,250-300,35-40,3-4,2000-2500
Audi,15.75571908,4,Germany,2904.532875,250-300,<15,3-4,3000-3500
Chevrolet,6.264058388,4,Japan,3977.199336,>350,40-50,4-5,4000-4500
Toyota,17.1779255,8,Japan,2607.669975,>350,35-40,<2,2500-3000
Mercedes,15.78360417,4,USA,3170.43293,100-150,<15,3-4,4500-5000
Ford,15.94409974,8,Japan,3431.482232,>350,40-50,4-5,2000-2500
Nissan,6.503620554,8,Japan,3423.418379,250-300,40-50,2-3,2500-3000
Mercedes,15.76640817,4,Japan,3608.137585,100-150,<15,4-5,4000-4500
Audi,15.19727188,6,Germany,3586.622989,300-350,20-25,3-4,4500-5000
Mercedes,17.46383736,6,USA,3689.714058,250-300,40-50,5-6,>5000
Toyota,5.623939344,6,USA,2851.431114,>350,35-40,<2,4500-5000
Toyota,5.346660027,6,Japan,3055.75974,150-200,15-20,2-3,4500-5000
Toyota,10.5951065,8,Japan,3073.049674,>350,15-20,3-4,3500-4000
Ford,7.231824258,6,Germany,3933.759491,300-350,20-25,2-3,2000-2500
Mercedes,13.37576716,8,USA,3113.967786,100-150,25-30,4-5,2000-2500
Chevrolet,18.76023352,4,Germany,2832.803816,>350,30-35,4-5,4000-4500
Ford,10.87219596,4,USA,3448.51664,300-350,20-25,<2,4500-5000
Toyota,17.67425566,8,Germany,3140.900372,200-250,25-30,3-4,3500-4000
BMW,5.003613118,6,Japan,2875.120095,250-300,35-40,3-4,4500-5000
Toyota,7.527719652,8,Germany,3572.703212,>350,<15,2-3,4000-4500
BMW,5.456353095,6,Japan,2787.88793,200-250,20-25,5-6,2000-2500
Nissan,9.922207708,6,USA,3450.031061,150-200,35-40,4-5,2500-3000
Ford,18.62284394,8,USA,3145.796065,150-200,40-50,4-5,>5000
BMW,6.454281854,8,Japan,2978.750746,200-250,30-35,4-5,4500-5000
Ford,14.09614665,6,USA,3918.973401,>350,30-35,3-4,>5000
Honda,11.77243909,8,Germany,2986.611262,250-300,<15,5-6,2000-2500
Chevrolet,19.07702319,6,Japan,3021.261061,150-200,25-30,4-5,>5000
Honda,6.837787138,8,USA,3805.957546,150-200,30-35,4-5,2500-3000
BMW,8.180417758,4,Germany,2693.565044,200-250,15-20,4-5,2000-2500
Honda,5.443129529,6,Germany,2662.103124,>350,20-25,2-3,>5000
Mercedes,11.50902874,4,USA,2924.061676,200-250,25-30,4-5,3000-3500
Audi,9.167493493,8,USA,3387.453885,>350,<15,2-3,4500-5000
Chevrolet,18.04858901,4,Germany,3076.45024,250-300,20-25,2-3,2500-3000
BMW,14.0741122,8,Japan,3412.831721,150-200,15-20,2-3,4000-4500
Nissan,14.21136107,6,USA,2739.625947,>350,20-25,5-6,>5000
Mercedes,12.97866045,8,USA,2892.176273,250-300,<15,4-5,3000-3500
Nissan,6.377755058,8,Japan,3347.743501,>350,40-50,4-5,4500-5000
Chevrolet,11.67528026,6,Japan,2825.723803,>350,30-35,4-5,2500-3000
Chevrolet,19.99257785,8,USA,3134.206946,100-150,35-40,3-4,4000-4500
BMW,17.52843936,6,Japan,3358.971815,100-150,40-50,5-6,3000-3500
Ford,18.40188581,8,Germany,3960.476353,>350,25-30,3-4,2500-3000
Audi,17.34839539,6,Germany,2619.829987,200-250,<15,3-4,3000-3500
BMW,6.545625401,4,Germany,3190.620968,150-200,30-35,2-3,2500-3000
Mercedes,8.411723811,8,USA,3094.406441,100-150,30-35,4-5,>5000
Ford,5.04682477,8,Japan,3736.361874,100-150,35-40,4-5,3500-4000
Ford,9.552651873,8,Germany,3850.445679,>350,25-30,3-4,2500-3000
Ford,6.629111035,6,Japan,3860.519753,150-200,15-20,<2,3500-4000
BMW,12.09190018,8,Germany,3062.70897,250-300,20-25,4-5,3000-3500
Toyota,15.15691233,6,Japan,2956.98272,300-350,20-25,<2,4500-5000
Toyota,18.11757943,8,Germany,3173.705876,250-300,35-40,4-5,>5000
Nissan,16.23825748,4,Germany,3015.979459,100-150,30-35,5-6,3500-4000
Toyota,19.07878394,8,Germany,3578.276471,>350,20-25,3-4,>5000
Toyota,5.808474356,4,Germany,2820.356573,100-150,40-50,2-3,4000-4500
Ford,5.182697531,6,Germany,3488.026126,>350,30-35,4-5,2500-3000
Ford,14.92007171,4,Germany,3890.4813,>350,15-20,4-5,4500-5000
Chevrolet,9.340286153,8,Germany,2919.870355,250-300,<15,3-4,4000-4500
Ford,8.802515242,8,Germany,3515.335925,300-350,15-20,5-6,4500-5000
BMW,9.963306315,6,Germany,2715.341682,250-300,15-20,<2,>5000
Chevrolet,9.046940868,8,Japan,2682.075913,250-300,15-20,3-4,3500-4000
Audi,12.67154609,8,Japan,2673.466717,>350,15-20,4-5,>5000
Chevrolet,11.60222671,6,USA,2707.792255,>350,20-25,4-5,>5000
Mercedes,12.68642827,6,Germany,2824.247305,200-250,15-20,2-3,3500-4000
Toyota,15.09070417,4,Japan,3344.245743,300-350,40-50,4-5,4000-4500
Mercedes,10.80695763,6,Japan,3650.478473,>350,<15,3-4,3000-3500
Ford,8.769615307,8,Japan,2690.285536,>350,30-35,3-4,>5000
Toyota,7.493008052,6,Japan,3805.022411,300-350,25-30,2-3,4500-5000
Ford,10.24211179,8,Japan,3764.074427,250-300,40-50,4-5,2000-2500
Toyota,16.12709713,4,Japan,3591.08204,200-250,<15,2-3,3000-3500
Audi,16.35057365,6,USA,3138.948699,>350,25-30,2-3,4000-4500
Toyota,15.0035808,8,Japan,2502.335852,150-200,40-50,2-3,2000-2500
Toyota,8.51042263,6,USA,3602.147412,300-350,40-50,4-5,2000-2500
BMW,13.82129369,6,USA,3818.479217,200-250,40-50,4-5,3500-4000
Audi,13.56034492,6,Germany,3002.929564,200-250,20-25,4-5,3000-3500
Mercedes,12.26399297,6,Germany,3576.981342,250-300,15-20,2-3,3500-4000
Nissan,13.2496848,4,Germany,2593.071422,>350,35-40,3-4,3000-3500
Audi,12.37685949,8,Japan,3564.242307,100-150,40-50,3-4,2500-3000
Toyota,13.48184549,6,Germany,2602.462781,300-350,30-35,4-5,4500-5000
Honda,15.73258932,8,Japan,3380.779504,100-150,30-35,5-6,4000-4500
Honda,6.644422916,4,Japan,3396.329929,150-200,20-25,<2,2500-3000
Honda,16.24438628,8,Germany,2953.234832,250-300,40-50,4-5,3000-3500
BMW,7.038292252,8,Germany,2618.684091,300-350,15-20,<2,4000-4500
Chevrolet,5.999419976,4,USA,3924.002162,200-250,20-25,3-4,2000-2500
Mercedes,19.64119529,6,USA,3303.366106,200-250,25-30,2-3,2500-3000
Toyota,19.35487653,8,Japan,3369.637188,100-150,30-35,2-3,2000-2500
Audi,5.906548174,8,Japan,3422.531334,200-250,15-20,2-3,>5000
Honda,11.64880162,6,Germany,3836.57189,>350,<15,3-4,>5000
BMW,7.793674074,6,Germany,2590.383467,>350,30-35,2-3,>5000
Chevrolet,12.28017346,8,USA,3839.931652,200-250,20-25,4-5,4500-5000
Mercedes,17.45265864,4,Germany,2859.514763,300-350,30-35,3-4,4500-5000
Honda,19.25917662,6,Japan,2616.925374,>350,15-20,<2,3500-4000
Ford,14.5137898,6,Germany,3485.898778,100-150,25-30,4-5,4500-5000
Nissan,10.30858501,4,USA,3965.463466,>350,30-35,2-3,2000-2500
Toyota,14.04988348,8,Japan,2585.863099,>350,<15,3-4,4000-4500
Nissan,9.680019592,6,USA,3139.182727,100-150,20-25,4-5,>5000
