Bedrooms,Square Footage,Location,Age of House,Bathrooms,Sale Price
2,3303,Suburb,5,2,395465
5,3185,City,36,3,550622
5,1285,Rural,49,1,906892
1,1062,Suburb,37,3,741107
3,3399,Suburb,22,1,907658
5,2389,Suburb,4,2,310097
4,1455,Rural,10,3,404271
4,1292,City,35,2,434844
4,1392,Suburb,16,1,66134
5,2543,Suburb,38,2,677946
2,1088,Rural,13,2,276714
5,3499,Suburb,11,3,536794
5,987,Suburb,21,3,56936
1,2296,Suburb,18,2,892817
3,3643,Rural,21,3,609314
5,3153,Suburb,23,1,133283
5,1235,City,16,3,608231
3,817,City,36,2,696130
4,2675,Suburb,27,3,317370
3,2508,Suburb,3,2,117818
5,1787,Rural,20,3,476241
2,3221,Suburb,17,2,564538
1,1644,Rural,37,3,773428
1,2538,Suburb,15,2,453094
3,3817,Rural,39,1,725679
3,1961,Suburb,24,3,259507
4,2061,Rural,44,3,67502
1,3996,City,5,1,306974
3,1175,Rural,11,1,532601
5,3227,Rural,45,1,361176
5,3513,Rural,31,2,383257
2,3059,Suburb,33,2,159666
2,1763,City,37,1,625855
3,3455,Rural,19,1,943657
4,3446,Rural,24,1,717885
4,1805,Rural,27,1,561070
4,1661,Rural,38,2,591688
4,3840,Suburb,48,1,292429
1,1664,Rural,36,1,349546
4,3910,Suburb,49,1,95501
2,1341,City,45,2,467399
2,1874,Suburb,32,3,847972
1,1935,City,27,3,484060
3,3465,Suburb,38,3,637872
5,1326,City,47,1,789677
2,3207,City,34,1,595070
2,2885,City,38,3,801693
1,932,Suburb,8,2,974470
2,2868,Suburb,41,3,643535
5,1975,Rural,19,1,116061
1,3632,Suburb,42,3,144990
4,2132,Suburb,32,3,503706
4,2358,Suburb,31,1,120939
4,1318,Rural,11,1,203655
5,2360,Rural,30,1,142268
3,3191,Suburb,20,3,982446
2,3658,City,38,1,898110
5,2214,City,18,2,833693
3,1469,City,10,2,173841
1,1933,Rural,15,1,247719
5,1824,City,8,2,260016
1,1498,Rural,15,1,529551
3,3742,City,50,1,884315
5,871,City,28,1,817106
2,2253,Suburb,28,1,442090
3,2243,Suburb,33,2,933039
2,1192,City,34,1,704880
1,3131,City,33,3,673296
2,2365,Rural,40,3,62798
5,1839,Rural,33,3,392139
5,1867,Rural,24,1,170768
4,1611,City,6,1,358057
2,1371,Suburb,18,3,464079
4,3372,Suburb,36,1,535982
3,1068,City,37,1,487333
1,2762,City,1,2,51195
3,2612,Suburb,29,1,761790
1,2038,Rural,45,1,499347
2,1223,Rural,2,1,732981
5,3328,Rural,49,3,741922
2,1604,Suburb,49,3,59967
1,2375,City,5,3,98754
4,2531,City,37,3,885904
1,854,Rural,31,1,602170
4,2730,Rural,1,1,83055
3,2997,Suburb,43,1,947383
5,2804,City,22,3,506401
3,3653,Rural,19,3,549824
2,1561,City,44,3,422047
4,2236,Suburb,34,3,606014
4,2494,Rural,1,1,794174
3,3139,City,47,1,750602
5,3603,Rural,8,1,129202
5,1332,Suburb,45,1,785234
3,1553,Suburb,15,3,490189
5,1414,City,35,1,120878
2,2575,Rural,25,2,934730
1,2003,Rural,4,1,642083
4,2672,City,4,1,662459
4,1528,City,43,3,182321
4,1087,Suburb,12,3,427377
1,3616,City,43,2,728049
2,1840,City,41,1,593691
3,1590,Rural,42,1,379988
5,843,Suburb,36,2,413064
5,1790,City,3,3,425095
1,3954,Rural,37,3,858818
4,1433,City,14,3,63092
5,2886,City,14,3,291251
3,2630,City,34,3,722512
5,1907,Rural,47,3,528448
4,3210,Rural,3,3,453380
3,2133,Rural,29,2,923790
4,2491,Suburb,45,2,955664
4,1243,Rural,17,3,955144
1,2094,City,34,2,639408
4,2034,Rural,49,1,570417
3,2126,City,20,1,902835
1,3604,City,4,3,724502
1,3997,City,23,3,169977
3,2513,Suburb,21,3,587798
1,1265,City,7,1,678038
3,817,Rural,13,3,969732
5,1717,Rural,37,1,318167
1,1509,Suburb,26,2,484720
5,817,Rural,41,2,765927
1,2723,Suburb,7,2,209512
4,2627,Suburb,50,3,997718
3,1710,Suburb,25,2,283714
4,1171,Rural,42,1,621077
5,3404,Suburb,7,1,775155
3,1604,Rural,47,1,300468
3,1828,Rural,39,2,691951
5,1634,City,2,1,151709
3,3992,City,30,1,127483
3,1931,City,5,2,227460
1,3403,Rural,26,3,746565
2,3357,Rural,41,1,860321
4,870,Suburb,28,2,710594
2,2370,City,17,1,145067
3,2301,Suburb,12,3,74764
2,3170,City,18,3,714383
1,3573,Suburb,49,2,296402
5,2185,City,15,3,67839
5,2842,Suburb,39,2,707659
2,2946,City,18,2,775710
1,969,Suburb,42,1,509021
5,1217,City,48,2,327499
2,857,Suburb,43,1,670114
2,2898,Rural,33,3,523865
4,3896,City,14,1,163752
1,3610,Suburb,9,2,350855
4,3675,City,31,1,386577
2,2692,Rural,17,3,697205
4,2592,City,2,3,592648
4,2434,City,31,1,263858
2,2144,Rural,1,3,946217
5,1446,Rural,7,1,678217
3,2660,City,21,1,59104
5,953,Suburb,44,1,831173
1,1854,Rural,25,2,708082
5,3127,Suburb,38,3,650413
2,3341,City,44,2,523931
4,1137,Suburb,36,3,848807
1,2174,Suburb,19,1,952913
1,1626,Rural,31,1,361576
1,2794,Rural,7,2,907016
4,2119,Suburb,34,1,885100
5,1950,City,23,2,537473
4,2046,Rural,29,3,410384
3,1799,City,25,3,926236
1,950,City,21,1,618816
2,3124,City,30,3,522620
4,2492,Rural,3,1,626938
1,1229,Suburb,23,3,427523
4,3547,Suburb,2,2,481838
4,2398,City,5,3,669870
5,3845,Rural,46,1,807000
4,2309,Rural,5,3,763178
2,3683,City,22,1,512504
3,3219,Rural,39,3,431998
3,3993,City,45,3,589021
4,1802,Rural,50,2,789458
4,3631,Suburb,50,3,856744
4,3956,Rural,16,3,116023
3,1831,City,9,2,855442
4,1937,Suburb,29,3,326143
5,1274,City,5,2,80534
4,2313,City,34,1,533109
2,1976,Suburb,37,1,146269
2,1042,City,3,3,86468
3,2920,Rural,47,1,62749
2,2966,City,29,3,368643
3,1749,City,50,2,820105
2,2864,Suburb,48,3,731244
3,986,City,1,2,858661
1,1439,Suburb,31,1,977488
2,2024,Rural,6,2,207517
4,3036,City,18,2,111039
3,3564,Suburb,22,2,257029
3,835,Rural,33,2,762766
5,3781,Rural,38,1,567325
1,2409,Rural,4,1,619315
1,2235,Suburb,49,1,799973
4,3553,Suburb,7,1,927528
3,3501,Suburb,26,3,469324
1,3134,Suburb,47,2,732805
1,1469,Rural,47,2,69646
5,3036,Rural,6,3,759959
4,2614,Suburb,37,3,85277
4,918,Suburb,40,1,359385
1,2526,Rural,1,3,51170
2,1631,Rural,30,2,604758
5,1740,City,18,3,458775
2,1376,Suburb,11,2,442397
5,2568,City,18,2,620724
2,3477,Suburb,3,1,376887
4,3655,Rural,27,2,600190
3,3658,Rural,45,3,115015
4,3792,Rural,42,2,731899
1,3792,Rural,5,2,644964
2,3342,Suburb,25,3,662941
1,2434,Rural,14,1,804549
4,3783,Rural,43,3,842738
2,1074,City,4,3,648426
5,3117,Rural,35,1,107483
3,1685,Rural,5,2,405837
4,3899,City,47,3,740993
4,3027,Suburb,12,1,320539
3,3512,Suburb,23,2,356966
4,3715,Suburb,9,2,598746
2,3383,Suburb,23,1,695569
2,3218,Suburb,15,3,782017
4,1271,Suburb,45,2,234271
2,2994,Suburb,14,1,295492
4,1585,Suburb,10,1,751892
4,2252,City,18,1,301676
5,2329,Suburb,9,2,275033
3,2478,Rural,49,2,874131
2,3730,Rural,26,2,341084
3,2136,City,10,2,495490
5,3672,Rural,47,1,197232
1,3421,Rural,33,1,140425
4,3715,Suburb,34,3,717844
2,1862,Rural,28,1,825713
1,2391,City,38,2,59729
1,1483,Suburb,40,2,372315
2,3622,City,19,3,229351
1,3678,Rural,5,2,520443
4,2534,Rural,7,3,198159
4,1715,Suburb,16,1,656268
4,1868,Rural,49,1,623547
5,2379,Rural,11,3,143676
1,1111,Rural,5,2,707347
4,2575,City,8,1,738465
5,1318,City,34,2,855593
4,1041,Suburb,26,1,361703
4,2470,City,40,2,250344
2,1200,Suburb,47,1,929450
4,3294,City,6,2,715483
4,2003,Suburb,39,1,130935
4,2027,Suburb,9,3,668325
4,3680,City,21,1,178727
4,2077,Rural,4,2,434519
3,2554,City,34,3,554202
3,2349,City,49,1,222485
5,879,City,26,1,131269
5,1310,Suburb,28,3,116552
5,1854,City,15,2,626825
3,3487,Rural,27,3,579225
5,3197,Suburb,37,2,394377
2,3402,Suburb,41,3,595707
1,3537,Rural,4,2,92038
2,3118,Rural,47,1,120598
1,1187,Rural,48,3,72411
1,3930,Suburb,42,2,218309
4,3153,City,37,2,524345
5,938,Suburb,16,1,924112
1,3417,City,9,1,803940
4,2008,Rural,32,2,306148
2,2586,City,43,1,478892
4,3824,City,28,3,297301
1,1891,City,17,1,462175
4,1837,Suburb,48,1,967059
4,1555,Rural,48,2,854513
2,2802,Suburb,17,1,545802
2,2352,Rural,27,3,934136
1,1894,Rural,19,1,890793
4,3329,Suburb,23,1,813536
3,2389,City,1,2,479840
4,1662,Suburb,31,2,556866
1,3915,Rural,5,1,135938
3,2977,City,21,1,956691
4,3240,City,32,2,118731
2,2311,Suburb,44,2,779872
1,859,City,44,2,877908
4,1445,City,11,2,880328
2,3510,City,34,2,803245
1,2643,City,47,3,597355
3,3612,Rural,20,3,511166
3,2213,Rural,45,1,333743
1,1682,Suburb,2,3,631397
2,2542,City,12,3,470412
3,3716,Suburb,18,3,182513
1,1717,Rural,8,2,654934
4,3749,Suburb,6,1,680903
1,2675,Suburb,35,1,621068
1,3630,City,14,2,584948
1,3406,Rural,25,1,230036
2,2923,Suburb,33,2,761074
5,846,Suburb,10,2,421514
4,935,Rural,13,3,991364
2,2469,Suburb,12,3,663779
1,3636,City,10,3,797420
4,2097,Rural,24,2,732012
2,1625,Suburb,23,3,627463
3,1091,Suburb,19,2,424798
4,1237,Suburb,3,1,465928
5,1820,Rural,6,3,952438
5,1663,Suburb,50,1,382204
4,1664,City,17,2,498638
4,3890,Rural,18,3,894883
1,1920,Rural,16,2,995201
1,3297,City,19,2,60991
1,3412,City,40,2,507050
4,987,Rural,43,1,718719
5,3672,Rural,19,1,517453
3,3143,Suburb,11,3,527512
5,1779,Suburb,45,2,135837
1,1482,City,30,1,338668
2,3751,Suburb,40,3,735348
5,1662,Rural,28,3,745188
1,2148,City,20,1,695682
4,2914,Rural,18,1,463556
3,838,City,9,1,512369
2,928,Suburb,48,1,157532
5,2203,Rural,2,3,769098
1,2517,Rural,26,2,235531
5,1742,Suburb,34,2,935105
3,2113,City,27,1,391205
2,1529,Rural,6,3,824898
5,2503,Rural,9,2,555552
3,3594,Rural,24,3,581221
2,2294,Rural,42,3,710285
5,3980,City,24,2,693136
1,1069,City,38,3,175382
3,3379,City,17,3,245873
1,3431,Suburb,24,3,952215
3,3510,Suburb,3,2,648578
1,3391,Rural,4,2,93541
1,3911,City,32,1,307813
5,3580,City,11,1,231974
5,1449,Rural,42,3,806505
1,3966,Suburb,23,2,265779
3,3127,Rural,35,3,906876
5,1415,Suburb,6,2,614273
5,3483,Rural,38,2,803156
1,2370,City,19,2,112070
3,3398,Suburb,19,1,77128
1,1129,Suburb,23,2,229232
4,2535,Suburb,1,1,518244
1,900,City,20,3,484835
3,900,Suburb,24,2,590618
5,2208,Suburb,19,1,792530
5,3019,City,27,2,983225
2,2760,Rural,15,3,824259
1,2310,Suburb,9,2,281835
5,2374,Suburb,35,1,245829
4,3597,City,46,2,334524
5,1989,Rural,34,3,223373
4,2131,Suburb,44,1,340928
5,1386,City,17,2,753339
5,3040,Suburb,10,2,424815
3,3582,Suburb,2,1,472739
5,2769,Rural,48,3,559230
4,2550,Rural,33,3,911624
3,3949,Rural,45,3,152809
5,2877,City,41,3,662196
3,2493,City,22,2,904592
5,1426,City,10,1,588400
2,3685,City,1,3,839040
3,2395,Rural,2,1,974880
4,1203,City,1,2,316885
2,1184,Rural,17,3,260394
5,2825,Rural,43,2,661814
5,1697,City,31,1,927385
2,3599,Rural,31,3,586157
1,2679,Rural,49,2,529889
2,2060,City,47,2,662010
4,1529,City,41,3,584762
5,2620,Rural,9,2,980782
3,2294,Rural,41,3,894889
1,2221,Suburb,7,3,619979
3,2596,Suburb,22,2,95417
2,1613,City,11,3,146605
5,2426,Rural,5,2,118859
4,1672,City,20,1,527317
2,1403,City,7,1,914967
2,3915,Rural,50,1,410567
3,2898,Rural,45,1,830441
3,1821,Rural,6,2,946385
5,1786,Suburb,34,1,814077
3,1006,Suburb,43,3,643864
1,2778,Rural,46,3,469563
5,854,Rural,5,2,103002
4,1137,Rural,42,2,212310
1,2418,Rural,4,3,162621
2,1574,Rural,10,1,655881
3,2140,Suburb,3,1,600456
4,3133,Rural,42,3,304857
5,3164,Suburb,12,2,943714
3,1668,City,13,2,557107
1,3404,Suburb,7,1,127518
2,3662,City,5,1,200790
2,3890,Rural,41,2,929672
3,2683,City,14,1,368027
5,2626,City,11,2,405087
5,1415,Rural,11,1,354645
3,2268,Rural,11,2,840239
3,3777,Suburb,13,2,713588
3,3234,Suburb,6,3,957831
4,1127,City,17,3,992262
3,2041,City,44,1,657516
4,3004,Suburb,20,3,178194
1,2610,Rural,19,1,243886
3,2812,Rural,7,1,243790
3,1711,Suburb,27,1,427346
5,889,Rural,47,2,107460
3,1149,Rural,7,1,207321
4,3515,City,3,1,260166
4,910,City,30,3,252027
3,3879,Suburb,3,2,636325
4,1161,City,3,3,386404
3,3530,Suburb,19,3,484396
1,1604,City,24,2,575342
4,1394,Rural,8,2,929835
4,1601,Rural,20,1,472763
4,1893,City,38,3,936063
4,2652,City,29,2,728355
3,3837,City,50,3,502862
3,3311,Suburb,6,1,411452
1,3326,Rural,6,3,785043
3,1518,Suburb,36,2,203993
4,3943,City,45,1,744020
1,3185,Rural,32,1,678845
2,1958,City,4,1,257210
5,2568,Rural,18,3,791615
1,2848,City,47,1,311157
5,1053,Suburb,10,3,510818
4,1034,City,10,1,529234
2,3607,Rural,6,1,828625
5,2298,City,35,2,403590
1,3627,Suburb,40,2,177430
3,2648,Suburb,33,3,448739
5,2344,City,32,1,329763
3,1532,City,42,3,914946
5,3486,Suburb,33,3,510183
4,3667,Rural,26,1,140705
3,2071,City,20,1,917046
2,2417,Suburb,32,3,296289
1,965,Rural,8,3,955003
2,836,Rural,23,1,149882
5,2564,City,16,2,901163
5,3427,Rural,49,2,550006
2,2085,Suburb,37,1,767784
5,1717,Suburb,27,1,843349
4,1754,Suburb,39,3,686442
1,2668,Suburb,39,2,167053
4,3018,City,35,2,911589
3,3238,City,25,3,985883
1,2848,Rural,42,1,736830
1,2936,Rural,31,3,165150
5,3884,Suburb,2,1,599978
3,855,Rural,42,3,667133
2,1119,City,25,3,160082
3,2395,Suburb,28,2,818419
2,2538,City,44,2,73309
3,3394,Suburb,17,2,160206
3,886,City,13,3,323928
2,1113,City,10,1,300071
4,2414,Suburb,2,1,287051
5,3807,City,12,1,959153
5,3640,Suburb,47,2,172467
5,1900,Suburb,9,1,638040
2,1123,City,19,1,675691
5,1658,Rural,17,1,807140
1,2896,City,41,1,580569
3,3191,City,43,3,246061
2,1626,Rural,26,1,98189
2,3626,Rural,9,1,650352
1,2109,City,47,2,782117
3,1473,Rural,27,1,716630
5,2311,City,3,2,544768
2,1723,Rural,25,3,129429
2,1333,City,12,1,292044
2,2671,City,41,3,194195
2,1297,City,7,1,504362
2,2024,City,46,3,571225
2,2311,Rural,3,3,979370
1,2999,Rural,18,3,378053
2,3158,Suburb,1,3,803226
4,1047,Suburb,22,1,322950
3,1235,City,33,1,944662
3,1746,City,45,3,247383
5,2104,City,29,2,495364
2,878,Suburb,13,1,151168
2,923,City,29,3,364767
1,2292,Suburb,38,3,424294
4,1742,Suburb,24,2,969089
3,2275,Suburb,26,3,456065
3,1711,Rural,44,2,686131
5,3127,Suburb,16,3,676287
2,1284,Rural,13,2,821989
1,3102,Suburb,46,3,204466
5,2013,City,41,3,591014
5,2040,Rural,16,1,158364
5,1777,Suburb,27,3,261956
1,3710,Suburb,40,1,959841
1,1969,Suburb,5,2,393625
2,3162,Rural,2,2,594315
1,3526,Suburb,48,1,123457
5,2259,Suburb,32,3,672497
2,880,City,49,2,102202
5,847,City,50,3,434005
5,2602,City,5,3,344775
3,2018,Rural,47,2,621594
1,1582,City,22,2,283784
3,3589,City,14,1,309708
3,2132,Rural,28,2,899934
5,2272,Rural,5,1,184298
1,2365,Rural,5,3,958531
5,2740,Rural,45,1,600894
4,3813,Rural,7,3,881766
5,3107,Rural,32,1,181302
5,1812,City,5,2,170207
1,1262,City,48,3,80920
5,2085,Suburb,9,1,765327
5,3254,Rural,33,2,780053
3,1891,Rural,42,2,54588
5,3628,Suburb,46,3,572362
1,1676,City,9,3,531884
3,2336,Rural,27,3,726927
2,3008,Rural,13,1,787981
2,2886,Suburb,13,2,762984
5,2460,Suburb,38,1,605793
3,3044,Rural,11,1,387176
4,3832,City,8,2,673072
2,3732,City,20,3,176368
3,3144,City,24,2,689467
2,926,Suburb,1,3,464601
3,2916,Rural,45,3,248284
5,1706,City,50,3,551416
3,3645,Suburb,19,2,636945
3,1456,Suburb,37,3,618016
1,1268,Suburb,35,2,902638
5,3888,City,2,2,577065
4,1259,Suburb,25,1,778960
2,1961,Rural,41,1,804304
3,2485,Suburb,45,2,791169
3,3486,Suburb,40,1,227322
5,3954,City,24,3,512079
1,2926,Suburb,36,1,580769
2,3899,City,33,3,564394
4,1439,Suburb,21,1,441690
3,2249,City,41,3,563504
1,2281,City,30,3,665844
2,2115,Rural,25,1,755691
2,2327,Suburb,46,3,131669
4,2931,Suburb,6,2,450625
5,2650,Rural,24,1,489430
2,810,Rural,17,3,646780
2,2389,Suburb,43,1,500596
4,3510,Suburb,4,1,419025
3,2822,Suburb,14,1,223491
5,3275,City,1,2,276557
4,3816,City,48,2,192220
3,1003,Suburb,34,2,275120
4,1917,City,14,1,872155
4,928,Suburb,9,2,636343
4,881,Suburb,19,3,743859
1,3884,Rural,46,3,622521
4,1868,Rural,5,3,238151
3,1539,City,33,1,555630
3,1066,City,30,2,51605
2,2441,Rural,14,1,895465
1,1996,Suburb,14,3,930787
3,2483,Suburb,6,2,89414
1,1885,City,4,2,568030
2,2258,City,25,1,674859
1,2652,Rural,31,3,417078
3,3738,Suburb,6,3,805480
5,3980,Suburb,16,3,480207
1,3251,Suburb,22,2,372196
1,2566,Suburb,28,1,344610
5,3049,Rural,14,1,837231
4,3438,Rural,28,2,395423
5,3685,Suburb,46,3,521536
4,2067,City,29,1,804769
5,2317,Rural,13,3,959246
1,3091,City,48,2,543590
4,2065,Suburb,38,2,486839
4,3034,Rural,5,3,446731
5,3531,Suburb,4,2,615663
1,1948,Suburb,44,3,783871
1,3969,Suburb,27,3,829141
1,1604,City,16,3,531632
4,2188,Rural,31,1,385913
4,3732,Rural,46,2,963870
4,1470,City,3,1,754690
1,2336,City,47,2,593124
2,3773,Rural,25,3,960151
2,3611,Rural,19,3,363652
4,1153,City,25,1,943019
4,3371,City,21,2,919555
1,3665,City,27,1,425263
1,1193,City,32,1,672125
2,3259,City,12,2,931616
2,3019,Suburb,42,1,805730
5,2351,City,7,3,780011
1,2755,Rural,11,1,580977
3,1834,Rural,49,1,491435
5,3440,Suburb,48,2,283909
1,3011,Suburb,7,2,515436
3,1962,Suburb,40,2,901745
3,1292,City,31,3,619006
4,3387,City,39,1,719304
4,3601,City,21,3,379853
3,3087,Rural,49,3,150152
3,3606,Rural,6,1,543393
5,2742,Rural,34,3,573395
3,2047,Suburb,27,3,972847
4,1874,Rural,29,1,505501
4,940,City,15,1,434079
4,1951,Suburb,17,3,249676
2,2833,City,46,2,825569
5,1098,Suburb,20,2,785324
5,2544,City,12,2,964225
5,2446,Suburb,14,3,158160
2,1489,City,38,3,388278
5,2484,Suburb,30,2,849649
2,1465,Suburb,44,3,599644
2,1584,Rural,41,2,499808
3,1042,Suburb,32,2,955917
2,3022,Rural,28,1,737977
1,1504,Rural,28,1,690154
1,1297,Suburb,3,2,274643
5,3701,City,22,1,511678
1,2236,City,23,2,297538
3,1253,Suburb,30,2,497670
1,1644,City,45,2,770971
2,3324,City,39,3,826771
1,2026,Rural,47,3,538470
4,2072,Rural,25,1,140915
3,2075,Suburb,13,1,975774
5,2138,City,30,3,709605
4,2263,Rural,18,1,519258
3,932,Suburb,13,3,156077
3,3611,Rural,5,3,182855
3,3956,City,10,3,410926
1,2020,Rural,19,3,233670
1,1330,Suburb,39,1,808586
4,3976,Rural,26,3,433718
4,1755,Rural,16,3,536815
2,2145,City,25,1,633926
2,2338,City,20,2,528719
2,3453,Suburb,24,1,182650
3,975,Suburb,42,3,229339
5,2186,Suburb,19,1,310520
2,3175,City,7,1,758137
4,2193,Rural,9,2,421854
5,2021,Suburb,11,2,511327
2,1211,Rural,25,3,371945
1,1762,City,46,2,159625
2,3808,City,45,3,58148
2,2212,Rural,44,2,594476
3,1643,City,2,1,157036
3,2506,Rural,20,3,661376
2,2239,Suburb,39,2,251061
3,2300,Rural,28,1,884784
1,1908,Suburb,20,2,250594
5,1573,City,4,3,762365
5,3972,Suburb,9,2,590474
3,3299,Suburb,23,1,615309
2,1335,Rural,13,2,116209
1,957,Suburb,1,3,183890
1,2708,Suburb,17,2,558430
4,1090,Rural,25,3,357951
3,2551,Suburb,32,1,707360
4,3037,Rural,33,1,193047
3,838,City,36,1,165654
4,2391,Suburb,6,3,249454
2,2432,Rural,6,2,940126
3,3952,Rural,2,3,339799
5,1593,Rural,25,2,758747
3,2254,Suburb,13,1,579664
5,3153,Suburb,50,2,470858
4,976,Suburb,42,1,163973
4,868,Rural,20,2,899549
2,3806,City,32,2,83357
5,2980,Rural,43,3,514279
2,3101,Rural,8,1,741840
1,3788,Rural,21,1,533077
5,3940,City,27,1,378495
3,1958,Suburb,30,2,950948
5,1738,Suburb,14,2,537322
4,2331,Suburb,20,1,538909
2,952,Suburb,19,3,64119
1,2132,City,1,2,915550
2,3407,Rural,42,3,472624
1,2640,Suburb,34,1,666669
4,1687,Suburb,37,3,540653
2,3060,Suburb,27,1,992284
3,2575,Rural,27,1,145615
3,2317,Rural,38,2,958609
2,3974,City,12,2,428314
2,1238,City,9,2,264401
1,2980,City,27,2,463100
2,3270,City,30,1,713598
1,3848,Suburb,46,2,117165
2,1115,City,24,3,882784
2,2237,City,19,2,242769
5,1946,Suburb,49,2,973760
1,3934,City,23,2,597063
4,2211,Suburb,36,1,75395
3,2722,City,40,2,829088
1,3745,City,44,3,155931
2,978,Suburb,18,2,557966
3,2222,Rural,25,2,390923
2,3863,City,21,3,636491
4,2054,Suburb,23,1,557849
1,3005,Suburb,10,3,892362
1,1541,Suburb,43,3,794781
2,2488,Rural,22,1,999319
2,2487,Suburb,14,1,622366
1,1272,Rural,48,1,328214
2,2724,Suburb,46,2,647445
1,3168,Rural,50,2,222366
5,3786,City,6,1,100931
4,2299,Rural,30,3,303605
1,2159,City,44,2,507818
4,3319,Suburb,2,2,553255
4,1715,City,28,2,232371
5,2697,Suburb,4,1,905183
1,3256,Suburb,26,3,313233
2,3990,City,17,1,992514
2,838,Rural,17,1,459192
1,2188,Suburb,45,1,52265
1,3243,Rural,48,2,61118
4,928,Suburb,12,3,748278
4,2897,City,9,1,475747
3,3213,Rural,31,2,666672
4,3985,Rural,48,3,970063
1,2624,Rural,47,1,91776
3,1278,Suburb,21,3,374343
4,1701,Rural,12,2,307366
2,3997,Rural,29,2,52762
4,2066,City,19,2,380427
4,2006,City,5,2,309132
4,2848,City,7,2,134833
4,986,Rural,22,2,672941
5,827,Suburb,44,2,874525
1,3738,City,6,2,486537
3,2782,Rural,2,2,723710
1,2446,City,31,2,640973
4,2653,City,12,2,263018
2,2187,Suburb,30,3,846280
3,3436,Rural,44,1,527543
1,2254,City,1,1,88338
2,1087,Suburb,45,2,583475
4,1558,Suburb,19,1,642931
2,978,City,2,3,349304
1,3397,Suburb,21,3,616786
3,2631,Rural,32,2,289189
1,2956,Suburb,39,2,497329
2,3987,City,28,3,460109
2,2193,Suburb,46,1,562531
1,1696,Suburb,15,3,228326
1,2464,City,30,1,908222
1,3205,Rural,31,2,681565
2,1297,City,2,1,206457
5,1815,City,7,2,738193
1,1931,City,14,1,910556
4,2953,City,38,2,875316
2,1760,City,35,1,830882
5,1364,Rural,27,1,182387
3,836,Suburb,4,1,209661
5,1015,Rural,34,1,74408
3,3081,Suburb,22,3,713123
5,1881,Suburb,41,1,711416
2,1923,City,25,2,574080
4,3258,City,41,3,991748
2,1879,City,8,2,742226
5,3673,City,40,2,187746
5,1266,Suburb,42,1,502540
3,1461,Suburb,3,2,343994
1,1820,Suburb,43,1,149373
2,2589,Rural,8,1,467315
3,2277,Suburb,33,3,653106
5,3459,Suburb,10,2,624454
5,2902,Suburb,28,1,209042
1,3956,City,13,3,529492
2,1973,Rural,2,2,312405
5,2844,Rural,18,2,489295
4,2420,Rural,30,2,274519
1,2828,City,19,3,233028
1,3223,City,2,3,701033
3,3374,City,37,1,314946
3,2917,City,8,3,851995
3,3592,Suburb,23,2,211334
5,2498,Suburb,44,1,317816
1,2360,City,22,2,366101
2,3818,Suburb,45,2,242016
4,3630,Rural,20,1,912105
5,2026,Suburb,37,3,360080
5,1071,Suburb,37,2,439155
2,1633,Suburb,31,1,716107
5,1502,Suburb,35,2,231107
2,2720,Rural,50,1,391665
2,2380,Rural,43,1,315670
1,1891,Suburb,31,3,294555
5,1160,Suburb,9,1,779440
5,3357,City,28,1,188915
4,2120,Suburb,44,3,147527
2,1435,Suburb,5,1,725869
4,2943,City,40,2,362611
4,3899,City,43,3,153262
4,3398,City,14,1,454853
3,2129,Suburb,37,2,248627
1,2547,Rural,43,2,64218
2,3770,City,46,1,742821
5,1964,Rural,44,3,287695
3,3189,City,9,3,416987
3,3673,Suburb,12,2,761382
3,3273,Suburb,18,1,948880
5,2497,Suburb,16,2,445238
3,2764,City,19,2,840636
3,3574,Suburb,1,1,618776
5,875,Suburb,18,1,258943
1,3875,Rural,42,1,912204
3,2574,Rural,43,1,195260
2,2210,Rural,24,3,893788
1,1491,Suburb,31,2,581465
5,3590,Rural,26,1,604895
1,1290,Suburb,6,1,452717
1,2563,Rural,16,1,384253
4,2679,Rural,42,3,166856
5,2402,Suburb,22,1,259231
1,3937,Rural,17,1,795416
5,3862,Rural,19,2,402226
3,1750,Suburb,10,3,573364
5,1420,Suburb,36,2,671175
1,1503,Suburb,42,2,92445
5,2564,City,19,1,841710
4,1081,Suburb,4,1,252271
4,2749,Rural,3,3,707571
4,3066,Suburb,16,2,862245
5,2903,City,17,3,550450
1,1002,City,11,1,775525
3,2742,Rural,42,2,468121
2,2069,Rural,37,1,213622
3,995,Rural,49,2,685369
4,1284,Rural,4,1,855377
1,3592,City,20,1,743937
5,1551,City,38,1,868564
5,2142,Suburb,26,1,375743
1,2975,Rural,49,2,929138
1,881,Suburb,27,3,113845
4,3740,City,10,1,341848
4,2569,Rural,23,2,266087
1,3527,City,27,1,785551
4,3785,Suburb,1,1,247821
2,1325,Rural,2,2,422906
5,1498,Suburb,18,3,890362
4,988,City,18,2,673503
4,2725,Suburb,48,1,281914
4,1918,Rural,48,2,548262
1,899,City,49,3,799251
2,1247,Suburb,8,3,573407
4,2009,Rural,28,3,794868
2,2498,Rural,41,1,153495
2,1767,Suburb,31,3,931408
1,1615,City,36,1,812307
4,1484,City,35,1,204836
2,3338,City,47,3,455649
4,3260,City,36,2,532390
4,3361,City,18,1,917296
3,1562,Rural,24,3,191129
5,2976,City,47,2,396868
4,2769,Suburb,31,2,393967
1,1576,Rural,21,1,696404
5,2281,Suburb,19,1,257177
1,1732,City,5,2,922890
1,1532,Rural,37,1,184519
1,2045,Rural,6,2,410176
